file,dmp_id_present,dmp_id_type_doi,dmp_id_type_handle,dmp_id_type_ark,dmp_id_type_url,dmp_id_type_other,dmp_has_alternate_id,dmp_n_alternate_ids,dmp_has_related_id,dmp_n_related_ids,language_eng,language_present,has_created,has_modified,ethical_issues_exist_yes,ethical_issues_exist_filled,ethical_issues_description_present,ethical_issues_description_length,has_ethical_issues_report,plan_title_present,plan_title_length,plan_description_present,plan_description_length,contact_has_name,contact_has_mbox,contact_has_id,contact_id_is_orcid,contact_id_is_isni,contact_id_is_openid,contact_n_ids,contact_has_affiliation,contact_affiliation_has_ror,contact_affiliation_has_grid,contact_affiliation_has_isni,n_contributors,n_contributors_binned,contributor_has_orcid,contributor_has_mbox,contributor_has_affiliation,contributor_role_owner,contributor_role_researcher,contributor_role_contact,contributor_role_datamanager,contributor_role_steward,contributor_n_distinct_roles,has_cost,n_cost_items,cost_has_value,cost_has_currency,cost_has_description,cost_total_value,has_project,project_has_description,project_has_start,project_has_end,project_has_project_id,has_funding,has_funder_id,funder_id_type_fundref,has_grant_id,funding_status_planned,funding_status_applied,funding_status_granted,funding_status_rejected,funding_has_status,funding_funder_is_ec,n_datasets,n_datasets_binned,dataset_personal_data_yes,dataset_personal_data_filled,dataset_sensitive_data_yes,dataset_sensitive_data_filled,dataset_id_type_doi,dataset_id_type_handle,dataset_id_type_ark,dataset_id_type_url,dataset_id_type_other,dataset_has_alternate_id,dataset_has_related_id,dataset_any_is_reused,dataset_is_reused_filled,dataset_rights_any_present,dataset_rights_total_length,dataset_has_creator,dataset_creator_has_orcid,dataset_creator_has_affiliation,dataset_desc_any_present,dataset_desc_total_length,dataset_title_any_present,dataset_preservation_any_present,dataset_preservation_total_length,dataset_has_dqa,dataset_has_issued,dataset_has_keywords,dataset_n_keywords_total,dataset_has_security_privacy,dataset_has_technical_resource,dataset_tech_resource_has_id,dataset_any_language_set,dataset_all_eng,dataset_any_type_set,dataset_has_metadata_standard,dist_any_format_specified,dist_any_bytesize_specified,dist_any_access_specified,dist_access_open,dist_access_shared,dist_access_closed,dist_any_license_specified,dist_license_is_cc,dist_license_has_embargo,dist_any_access_url,dist_any_download_url,dist_any_available_until,dist_any_issued,dist_any_host,dist_host_certified,dist_host_has_geo,dist_host_has_pid_system,dist_host_versioning_yes,dist_host_versioning_filled,dist_host_has_backup,dist_host_has_availability,dist_host_has_host_id,dist_host_cert_iso16363,dist_host_cert_coretrustseal,dist_host_cert_dsa,dist_host_cert_iso16919,dist_host_cert_dini_zertifikat,dist_host_cert_din31644,dist_host_cert_trac,dist_host_cert_wds,dist_host_pid_doi,dist_host_pid_handle,dist_host_pid_url,dist_host_pid_urn,dist_host_pid_ark,dist_host_pid_other
02c9ca45-d0d1-47fa-b696-fe679d7e3898,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,104,1,1135,1,0,1,0,0,0,1,0,0,0,0,4,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1420,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031feef2-7aa5-443a-a2dd-44b7054f2f2f,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,100,1,2140,1,0,1,0,0,0,1,0,0,0,0,4,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,280,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
032d84c6-a19d-4bf5-bb39-ca34ecc4c074,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,18,1,175,1,0,1,0,0,0,1,0,0,0,0,4,2,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,234,1,0,0,0,0,1,8,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
034fd469-2c69-4208-bca5-c3151ba8a427,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,139,1,1196,1,0,1,0,0,0,1,0,0,0,0,11,3,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1303,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03858673-ee9a-4417-9fa0-ef98270fb614,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,95,1,926,1,0,1,0,0,0,1,0,0,0,0,3,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,162,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03ef6291-c489-4fd0-a98f-9cb86ae86340,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,125,1,598,1,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,415,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03f2914d-ba78-4273-a0dd-fd75fb3d7065,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,35,1,332,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,5000.0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,328,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
049925f0-cdd2-4382-934e-23c83bc20302,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,91,1,599,1,0,1,0,0,0,1,0,0,0,0,5,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,438,1,0,0,0,0,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04f1c5c5-153b-4583-bb8d-3359bf7f1d89,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,27,1,2528,1,0,1,0,0,0,1,0,0,0,0,2,2,1,0,0,1,1,0,0,0,2,1,2,1,0,1,0.0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1791,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
05507570-40eb-4183-a115-c0425abbf939,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,726,0,1,18,1,684,1,0,1,0,0,0,1,0,0,0,0,9,3,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0.0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,409,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
